amazon.com,176.32.103.205
facebook.com,157.240.28.35
apple.com,17.253.144.10
ebay.com,209.140.148.143
live.com,204.79.197.212
msn.com,13.82.28.61
baidu.com,220.181.38.148
microsoft.com,13.77.161.179
blogspot.com,142.250.72.73
hao123.com,110.242.69.86
qq.com,203.205.254.157
bing.com,13.107.21.200
taobao.com,140.205.94.189
163.com,123.58.180.7
ask.com,151.101.70.114
sohu.com,211.159.191.77
56.com,183.232.65.145
twitter.com,104.244.42.65
adobe.com,23.48.9.147
mozilla.com,44.235.246.155
sdjjdsaf.com,
andysayler.com,159.89.253.85
paypal.com,64.4.250.37
sina.com.cn,123.125.104.150
wmfo.org,23.92.21.128
pps.tv,116.211.199.232
soso.com,118.191.216.57
ku6.com,117.50.1.222
about.com,151.101.194.137
youku.com,106.11.43.246
yahoo.com,74.6.143.26
live.com,204.79.197.212
4399.com,129.211.129.109
youtube.com,142.250.72.46
xunlei.com,112.124.227.84
blogspot.com,142.250.72.41
ameblo.jp,151.101.2.133
youtube.com,142.250.72.46
windows.com,40.76.4.15
rakuten.co.jp,133.237.16.234
skype.com,40.121.80.200
cnn.com,151.101.65.67
yahoo.com,74.6.143.26
qq.com,203.205.254.157
bing.com,13.107.21.200
partypoker.com,195.72.135.91
megaupload.com,
taobao.com,140.205.94.189
sogou.com,118.191.216.57
163.com,123.58.180.8
flickr.com,143.204.33.133
cnet.com,34.95.96.50
go.com,23.236.60.174
4shared.com,204.155.146.95
linkedin.com,13.107.42.14
dailymotion.com,195.8.215.136
imdb.com,52.94.228.167
fc2.com,199.48.210.152
sina.com.cn,49.7.37.133
alibaba.com,205.204.101.142
rapidshare.com,0.0.0.0
mail.ru,94.100.180.201
daum.net,211.231.99.17
vkontakte.ru,87.240.137.158
photobucket.com,65.8.242.112
7k7k.com,157.185.175.102
mediafire.com,104.16.203.237
soso.com,118.191.216.57
seesaa.net,143.204.39.29
mywebsearch.com,34.117.28.143
walmart.com,161.170.230.170
youdao.com,103.72.47.249
ebay.de,216.113.179.53
wikipedia.org,208.80.153.224
hotfile.com,18.207.9.28
adobe.com,23.48.9.82
twitter.com,104.244.42.1
2345.com,180.101.190.124
renren.com,120.133.2.242
orkut.com.br,132.148.40.250
pconline.com.cn,219.136.244.85
tianya.cn,124.225.206.22
mozilla.com,44.235.246.155
baidu.com,220.181.38.148
orkut.com,216.239.34.21
sdjjdsaf.com,
youku.com,106.11.43.158
microsoft.com,104.215.148.63
andysayler.com,159.89.253.85
jp.msn.com,13.88.15.24
wikipedia.org,208.80.153.224
msn.com,13.82.28.61
naver.com,223.130.195.95
tmall.com,140.205.94.193
blogger.com,142.250.72.41
aol.com,74.6.136.150
amazon.co.jp,52.119.164.121
hp.com,15.72.228.83
answers.com,151.101.192.203
livedoor.jp,
qiyi.com,111.206.13.63
ehow.com,104.98.93.65
kugou.com,183.131.48.92
ask.com,151.101.70.114
nifty.com,222.158.213.148
zynga.com,143.204.39.112
wmfo.org,23.92.21.128
imageshack.us,208.94.3.19
softonic.com,35.227.233.104
soku.com,106.11.47.20
alipay.com,110.75.139.5
weather.com,23.203.99.145
odnoklassniki.ru,5.61.23.11
myspace.com,63.135.90.70
bbc.co.uk,151.101.192.81
craigslist.org,208.82.237.129
360.cn,36.110.213.10
yahoo.co.jp,182.22.59.229
wordpress.com,192.0.78.17
facebook.com,157.240.28.35
ifeng.com,82.156.59.186
yandex.ru,77.88.55.70
hotmail.com,204.79.197.212
tudou.com,106.11.43.246
goo.ne.jp,114.179.184.93
paipai.com,106.39.169.133
